DATE,IPG3113N
1/7/1991,87.1736
1/8/1991,95.6139
1/9/1991,96.8585
1/10/1991,108.2228
1/11/1991,112.8338
1/12/1991,109.0885
1/1/1992,91.0768
1/2/1992,89.7382
1/3/1992,82.8433
1/4/1992,80.2884
1/5/1992,78.2107
1/6/1992,80.8736
1/7/1992,80.2405
1/8/1992,83.7114
1/9/1992,90.6001
1/10/1992,103.4987
1/11/1992,106.2795
1/12/1992,105.6933
1/1/1993,91.4402
1/2/1993,89.04
1/3/1993,82.5602
1/4/1993,78.0422
1/5/1993,77.0421
1/6/1993,82.6051
1/7/1993,83.3924
1/8/1993,90.1092
1/9/1993,94.644
1/10/1993,108.7526
1/11/1993,108.7244
1/12/1993,106.9482
1/1/1994,91.7524
1/2/1994,87.7553
1/3/1994,85.7803
1/4/1994,77.8038
1/5/1994,75.7888
1/6/1994,81.6966
1/7/1994,84.015
1/8/1994,89.7018
1/9/1994,95.6028
1/10/1994,107.1981
1/11/1994,107.2991
1/12/1994,108.8635
1/1/1995,93.813
1/2/1995,86.421
1/3/1995,83.7814
1/4/1995,82.1008
1/5/1995,81.5173
1/6/1995,85.6057
1/7/1995,85.5563
1/8/1995,89.0864
1/9/1995,93.3887
1/10/1995,104.9012
1/11/1995,107.9145
1/12/1995,112.3126
1/1/1996,90.7757
1/2/1996,91.962
1/3/1996,89.6658
1/4/1996,82.5944
1/5/1996,84.5454
1/6/1996,87.458
1/7/1996,85.5976
1/8/1996,94.1371
1/9/1996,99.9498
1/10/1996,109.9215
1/11/1996,116.5438
1/12/1996,118.5477
1/1/1997,96.3302
1/2/1997,95.4778
1/3/1997,92.7792
1/4/1997,85.4795
1/5/1997,84.8053
1/6/1997,88.4703
1/7/1997,85.6397
1/8/1997,95.8062
1/9/1997,100.2353
1/10/1997,112.8543
1/11/1997,117.7892
1/12/1997,118.5506
1/1/1998,104.3874
1/2/1998,102.128
1/3/1998,96.5675
1/4/1998,92.5032
1/5/1998,93.3184
1/6/1998,96.5524
1/7/1998,94.9437
1/8/1998,102.4789
1/9/1998,105.3024
1/10/1998,115.519
1/11/1998,119.277
1/12/1998,118.3828
1/1/1999,102.2061
1/2/1999,99.8688
1/3/1999,93.2647
1/4/1999,92.55
1/5/1999,93.9195
1/6/1999,94.3611
1/7/1999,93.913
1/8/1999,98.0045
1/9/1999,101.6162
1/10/1999,114.6882
1/11/1999,114.7902
1/12/1999,117.2326
1/1/2000,107.2709
1/2/2000,104.3159
1/3/2000,99.2677
1/4/2000,101.0038
1/5/2000,94.7037
1/6/2000,99.4793
1/7/2000,97.444
1/8/2000,102.6935
1/9/2000,109.4413
1/10/2000,119.1665
1/11/2000,118.138
1/12/2000,120.8138
1/1/2001,106.7677
1/2/2001,106.1691
1/3/2001,103.304
1/4/2001,99.9084
1/5/2001,98.375
1/6/2001,100.4648
1/7/2001,98.8585
1/8/2001,104.2468
1/9/2001,107.5864
1/10/2001,109.339
1/11/2001,112.1252
1/12/2001,112.9294
1/1/2002,102.3932
1/2/2002,99.7542
1/3/2002,96.0667
1/4/2002,91.176
1/5/2002,88.7004
1/6/2002,97.7306
1/7/2002,96.1552
1/8/2002,102.372
1/9/2002,104.0859
1/10/2002,108.0602
1/11/2002,112.0214
1/12/2002,108.2017
1/1/2003,98.4944
1/2/2003,96.8894
1/3/2003,96.9284
1/4/2003,91.6461
1/5/2003,93.7844
1/6/2003,97.3065
1/7/2003,89.6133
1/8/2003,98.5597
1/9/2003,101.7256
1/10/2003,108.9878
1/11/2003,115.5791
1/12/2003,112.0933
1/1/2004,101.0838
1/2/2004,102.3611
1/3/2004,90.3897
1/4/2004,88.9165
1/5/2004,95.5536
1/6/2004,92.534
1/7/2004,92.4154
1/8/2004,101.2785
1/9/2004,105.2464
1/10/2004,115.3788
1/11/2004,116.1554
1/12/2004,113.4439
1/1/2005,108.7251
1/2/2005,108.1708
1/3/2005,93.6097
1/4/2005,93.1854
1/5/2005,97.2046
1/6/2005,93.4404
1/7/2005,96.0209
1/8/2005,99.9764
